,Title,Text,,
200,Six Minutes to Midnight review – Eddie Izzard miscast in strained Nazi-school yarn,"Eddie Izzard, comedy genius and heroic campaigner for the European cause, is bizarrely miscast in a deadpan-serious acting role for this weird, strained, second world war spy melodrama inspired by a stranger-than-fiction true story. The transgender star switches back here to what Izzard has playfully called “boy mode” for a boy’s-own-story in the style of John Buchan or Erskine Childers, or maybe one of Michael Palin’s Ripping Yarns, though with the jokes and comic self-awareness systematically removed. It’s a muddled, unrelaxed tale from Izzard as co-writer and co-producer, whose dramatic gears keep slipping, and which is never entirely sure where our sympathies should lie. Izzard plays Thomas Miller, a teacher of Anglo-German ancestry who in the fraught summer of 1939 takes a job at the Augusta Victoria college in Bexhill-on-Sea, a kind of genteel finishing school for expatriate German adolescent girls; he is interviewed for the job by the naively pro-German English headmistress Miss Rocholl (with Judi Dench sleepwalking through the role). This extraordinary school really did exist throughout the 1930s, with a swastika discreetly sewn into its crest next to the union jack, and it was attended by the daughters and god-daughters of some very senior Nazis. Izzard imagines what might happen if, as war loomed, this place was the centre of a Nazi intelligence plot. A lively idea for a drama, but the sheer oddity of the real-life premise slows it down, and the film is unsure about whether we should see these teen blonde Mädchen pupils as Midwich-Cuckoo mini-Nazis or as poignant dupes. A spy story depends on secrecy and concealment, but this school is entirely open about its pro-German and pro-Nazi leanings from the outset. As for the character of Miller, he is supposed to be a real action hero, and there are loads of shots of Izzard running athletically and surreally away from the camera across open fields. The film itself runs out of breath. • Six Minutes to Midnight is released on 26 March on Sky Cinema.",Six Minutes to Midnight,FILM
201,Memories of My Father review – deeply felt memoir of Medellín's public-health champion,"Javier Cámara is the Spanish actor with the gentle, open, everyman face who has been a stalwart repertory player for Pedro Almodóvar for around 20 years, particularly in the mysterious and beautiful 2002 film Talk to Her; Cámara unforgettably played Benigno, the nurse tending to a young woman in a coma, believing that he must always talk to her. Now he gives a wonderful richness and warmth to this very affecting movie, directed by Fernando Trueba; it is based on the true story of Héctor Abad Gómez, the Colombian public-health activist and prominent government critic who in 1987 was shot dead in Medellín by far-right paramilitaries. It is adapted from the 2005 memoir of Gómez by his son, the now prominent Colombian author Héctor Abad Faciolince, entitled El Olvido Que Seremos (which is the movie’s original Spanish title), meaning Forgotten We’ll Be. (It is taken from the Borges poem, The Epitaph: “Already we are the oblivion we shall be.”) Cámara plays Gómez, the professor, husband and father to a lively and talented family of mostly girls, and one somewhat pampered son: Hector, played by Nicolás Reyes Cano as a moon-faced boy and then by Juan Pablo Urrego as an earnest, bespectacled literature student. Gómez is adored by his family, by his students and by the local community in Medellín, in whose streets he is an inspiring figure, striding around proselytising for what he calls the five basic human rights: air, water, food, shelter and affection. But he is continuously harassed by the authorities for these progressive views, and forced to take an evasive sabbatical abroad at one stage and finally early retirement. The movie has “present-tense” scenes in the 1980s, shot in black and white, but Hector’s ecstatically remembered 1970s childhood is shot in sunlit colour. This is a wonderfully sympathetic, deeply felt and tenderly funny family drama with a novelistic attention to details and episodes – a little like Alfonso Cuáron’s Roma, about growing up in a similar era in Mexico City. Cámara thoroughly inhabits the figure of Gómez: unselfconsciously inspiring and lovable. • Memories of My Father is released on 26 March on Curzon Home Cinema.",Memories of My Father,FILM
202,Made in Italy review – autobiographical poignancy from Liam Neeson and son,"The big, unique selling point of this somewhat sappy but quite watchable feature is that the two main roles – a charismatic, widowed artist named Robert and his handsome but still finding-his-feet-careerwise son Jack – are played by Liam Neeson and his real-life son, up-and-coming actor Micheál Richardson. In the film, Robert’s wife/Jack’s mother died tragically young in a car accident. This, of course, parallels the death of Neeson’s real-life wife/Richardson’s mother, Natasha, from injuries incurred during a skiing accident when her sons were still in their teens. Knowing all this adds a certain frisson to the climactic scene where father and son have it out about the different ways they handled the late woman’s death. But the lack of finesse, in scriptwriting terms, with which the emotional punch is landed robs the scene of the impact it deserves. Elsewhere, the yarn is more entertaining as an uber-bougie slice of property porn about the two men bonding as they fix up, with ludicrously obvious symbolism, the palatial Tuscan house they inherited from Jack’s late mother. Jack, it transpires, wants to sell the place so he can buy an art gallery he ran for his own ex-wife’s family. Obviously, he’s going to be tempted away from that path by the golden sunlight of the region and the charms of pretty local woman Natalia (Valeria Bilello); the kind of restaurant owner who, unlike any real-life restaurateur, doesn’t seem to need to spend much time at her establishment, leaving her lots of free hours to float about in tea dresses and hang out with the visiting menfolk from London painting walls. Realism is clearly not a strong suit for writer-director James D’Arcy, but he gets pretty good comic performances from his likeable cast, which includes Lindsay Duncan as an acerbic estate agent. •Made in Italy is released on 26 March on Amazon Prime Video.",Made in Italy,FILM
203,Retaliation review – Orlando Bloom gives it his all in lacerating sexual-abuse drama,"Orlando Bloom has often looked perfectly happy with a Hollywood career, starring in movies as opposed to necessarily acting in them. But he outdoes himself in this British indie drama playing a man traumatised by childhood sexual abuse at the hands of a Catholic priest. There’s a kind of blunt brute force to his performance – and he looks almost unrecognisable, as if he’s using certain muscles in his face for the first time. The film is a horror story: a disturbing, hard-to-watch ordeal with a lacerating script by Geoff Thompson, a sexual-abuse survivor who has written courageously about his own experience. Bloom is Malcolm, known to everyone as Malky, a nickname that doesn’t remotely suit him. He swaggers about full of rage, flying into a temper if anyone so much as looks at him funny. Malcolm works in the macho world of demolition, stripping old churches of fixtures and fittings before the bulldozers move in. Just in case you miss the point, his mum says over tea: “There’s a lot of churches. You won’t be able to knock them all down.” There’s a good deal of this sort of heavy symbolism, giving the whole thing an overcooked, oppressive feel. Malcolm’s shame and fear of intimacy emerge in some unflinchingly grim scenes. Sex with his on-off barmaid girlfriend (Janet Montgomery) is cold and horrible. At home, in secret, Malcolm abuses himself, staring into the mirror while he rapes himself with a wooden truncheon – it’s a shocking moment, and it will be too much for some. One day, having a pint in his local, Malcolm spots the paedophile priest (James Smillie) who raped him – he’s been moved back to the parish. The confrontation and narrative resolution that follow feel a bit hastily sketched-out. But there are lines here that land like a punch: “I was 12. When I woke up the next day I was 100.” • Retaliation is released on 26 March on digital platforms.",Retaliation,FILM
204,New photo shows Kristen Stewart as Princess Diana ahead of biopic Spencer,"A new image of Kristen Stewart as Princess Diana has been released, as shooting on forthcoming biopic Spencer moves to the UK. Stewart, 30, will play the late princess in the film, directed by Chilean film-maker Pablo Larraín, whose biopic of Jackie Kennedy starring Natalie Portman won multiple Oscar nominations in 2017. In the photograph, Stewart smiles directly at the camera, wearing a layered blond bob as well as tartan blazer and diamond engagement ring that appear to be copies of those sported by the real woman. The film’s autumn release follows rave reviews for the most recent season of Netflix’s The Crown, in which Emma Corrin played the princess, winning a Golden Globe for her performance, as did Josh O’Connor as Prince Charles. The actor playing Prince Charles in the new film will be Jack Farthing, best known as baddie George Warleggan in BBC’s Poldark. Farthing, 35, also played John Lennon in ITV’s Cilla Black series and featured in The Riot Club, the big-screen version of the play Posh. The film is scripted by Peaky Blinders’ Steven Knight, and scored by Radiohead’s Jonny Greenwood. Supporting cast include Timothy Spall, Sally Hawkins and Sean Harris. The actors playing the young princes William and Harry have not been announced; last year, British passport holders were ruled out of contention for the roles over post-Brexit visa concerns. Spencer is set over the course of a decisive weekend in December 1991, during which Princess Diana spends the Christmas holidays with the royal family at Sandringham, and decides to leave her marriage to Prince Charles. “The Prince and Princess of Wales’ marriage has long since grown cold,” reads a press release. “Though rumours of affairs and a divorce abound, peace is ordained for the Christmas festivities at Sandringham Estate. There’s eating and drinking, shooting and hunting. Diana knows the game. This year, things will be a whole lot different.” It’s the first big feature film to be made about the princess since 2013’s much-ridiculed Diana, which starred Naomi Watts and was labelled “car crash cinema” by the Guardian’s Peter Bradshaw. Stewart described Spencer in a statement as “a dive inside an emotional imagining of who Diana was at a pivotal turning point in her life”. Filming was taking place in Germany, but has moved to the UK. The film is scheduled for release this autumn.",Kristen Stewart,PERFORMER
205,Bafta diversity scheme participant says casting director made racist comments,"A scheme set up by Bafta with the aim of improving diversity in the film and TV industry has come under fire from one of its former participants, who said she had experienced racist comments and a lack of promised disability support. India Eva Rae, who joined Bafta’s Elevate programme in 2019, told the BBC that a casting director told her she was an “exotic talent”, and that they “can’t understand the English coming out your mouth”. Rae also said that she had been told not to report the incident by a “mentor” on the scheme: “This mentor told me and other members of the group that we will never work again if we speak up.” Bafta CEO Amanda Berry said in response that the organisation “was aware that [Rae] had had a negative experience with a casting director, as they mentioned it in passing … but we are not aware that this happened as part of the Elevate programme.” The BBC also report that Bafta said it had not received any complaints about either incident, but that if it had, they would have been taken extremely seriously. Rae also said she had difficulties accessing disability support. Rae was selected in 2019 for Bafta’s Elevate programme after featuring in the Channel 4 anthology series On the Edge. Elevate was set up in 2017 and is described by Bafta as “a new bespoke annual programme that aims to elevate individuals from under-represented groups to the next stage of their career”. It was one of a set of initiatives introduced by Bafta to increase diversity in the film and TV industry, alongside changes to eligibility for its awards and membership process. Bafta recently joined the the BFI to relaunch a programme to combat bullying, harassment and racism in the screen industries. Berry added: “It is a matter of great sadness and regret for me that anyone would feel this way, and our door remains completely open to find a solution, and to ensure that every participant benefits from the scheme.” “I know that other participants have found this to be a truly fantastic opportunity.” In a statement to Deadline, Bafta said: “Bafta condemns bullying, harassment, racism and discrimination of any kind and we take allegations of this nature incredibly seriously and will investigate urgently. We go to great lengths to ensure our programmes are as inclusive and accessible as possible for everyone who takes part, whatever their specific support needs are, and have responded to and want to resolve the participant’s requests in this area.”",Bafta diversity scheme participant,OTHERS
206,Tom & Jerry The Movie review – sanitised relaunch of the cat and mouse combatants,"Whoever wins, parents lose. While there’s little to truly loathe in Fantastic Four and Ride Along director Tim Story’s frantic new take on Tom &amp; Jerry, there’s also an equal lack of anything to truly love; this is a serviceable, if entirely forgettable attempt to relaunch an old property for a new audience. Very young kids might find some enjoyment in the brightly hued, fast-paced mania of it all, but those with any real affection for the pair of violently opposed animals will leave unimpressed. With a script that feels lazily retrofitted to revolve around the two animals rather than designed directly for them, this is basically a kids’ movie about antics in a New York hotel that pauses every so often to feature a sanitised fight between the pair. The decision to combine live action with animation often jars (every human is real, every animal is animated) and, within the realism of Manhattan, we’re then left with questions about the rules that have been haphazardly set up. (Why, for example, can some animals talk but not others? Violence seems to cause no harm to animals, so would humans also be immune?). These are questions that we perhaps wouldn’t be forced to ask if the film itself were more engaging. Chloë Grace Moretz, playing a grifter turned hotel employee turned cat and mouse peacemaker, is at least well-suited to the material. Her precocious brand of acting has seemed to pause rather than progress as she segues from child to adulthood, but her over-pronounced comedy works well here – there’s a brisk efficiency to her scenes with suspicious co-workers played by Rob Delaney and Michael Peña (both far more comfortable than SNL’s Colin Jost, fully lost). The animals themselves are a little underpowered, their signature scraps never quite inventive or audacious enough. The film’s sunny energy and its refreshing lack of toilet humour (something that’s stunk up many a kids’ movie in recent years) makes it an inoffensive effort, but it’ll race from your memory faster than Jerry from Tom. • Tom &amp; Jerry The Movie is released on 25 March on digital platforms.",Tom & Jerry The Movie,FILM
207,Violation review – a brutal and brilliant debut,"The revenge movie is the blunt weapon in the film-maker’s toolkit. Audience bloodlust is sated by justifiable violence; we get a guilt-free kick out of the kicking because justice is seen to be served. As a genre, it’s effective, but basic. Infinitely more unsettling and challenging are the films that dissect the whole idea of revenge, confronting the audience with its own complicity – films such as Gaspar Noé’s Irréversible and now Madeleine Sims-Fewer and Dusty Mancinelli’s brutal and brilliant directorial debut, Violation. Violation is as much a film about trauma as it is about revenge. In a PTSD-shattered timeline, the remarkable Sims-Fewer plays Miriam, a woman visiting her sister (Anna Maguire) and brother-in-law (Jesse LaVercombe). The sisters cling to a comfort blanket of shared history, but it’s soon stained by an act of betrayal. Miriam finds herself compelled to seek revenge. But no amount of meticulous planning can prepare her – and us – for the visceral realities of the act. The muted natural light of dawn and dusk elsewhere in the film is a contrast to the scorching campfire orange that drenches the violence; the naturalism of the performances is heightened by merciless details in the sound design. It’s gruelling, but fiercely intelligent film-making. Available exclusively on Shudder",Violation,FILM
208,Memories of My Father review – loving portrait of a parent,"A child’s-eye view of a hero father – Javier Cámara stars as dedicated parent, doctor, human-rights leader and all-round good egg Héctor Abad Gómez – is saturated with a honeyed colour palette and an unapologetically sentimental score. But as the child grows into an adult, the film adopts starker black-and-white photography and a harder-edged approach to Colombia’s tumultuous political backdro. Adapted, somewhat inelegantly, from an autobiographical novel by Héctor Abad Faciolince, Memories of My Father is a touch overlong and soapy and awkwardly structured. But it’s still an engrossingly watchable drama. • On Curzon Home Cinema",Memories of My Father,FILM
209,Tom and Jerry review – wearisome live action adaptation,"The long-running feud between cat and smart-aleck mouse gets a new platform in this feature-length adaptation of the Hanna Barbera cartoon. The backdrop is a swanky Manhattan hotel, which is set to host the wedding of the year. The approach, a marriage of cluttered live action with madcap 2D animation, owes an obvious debt to Who Framed Roger Rabbit, but has more in common with the wearisome and unfunny Garfield: The Movie. Chloë Grace Moretz stars as Kayla, an opportunist who cons her way into a job using a stolen résumé. It’s astute casting – Moretz’s habitually overblown acting style seems slightly less jarring when juxtaposed with rampaging cartoon elephants. The film is most entertaining when it wreaks havoc – a car chase involving a commandeered military drone is a slickly executed riot. But lazy writing squashes any real fun as emphatically as an Acme anvil dropped from a roof. • Available on all platforms",Tom and Jerry,FILM
210,Undine review – a shaggy catfish of a story about a woman with a water obsession,"Christian Petzold’s Undine is an intriguing, bemusing oddity of a film: a suspense drama-thriller with a fey supernatural twist. It’s a sphinx that, if not exactly without a secret, has less of a secret than it thinks it has. And it is possible to come away from the film less than convinced, but very impressed by the sheer force of Petzold’s film-making talent (recently so stunning in his drama Transit) but which has been here deployed for something which is a bit flimsy and silly. Paula Beer plays Undine who, as her name suggests, may have intense sympathies with water. She lives in Berlin, and is a stylish and elegant historian who lectures on the city’s architectural history at the Berlin City Models exhibition. But she is also conducting an unhappy adulterous affair with Johannes (Jacob Matschenz), which is reaching its unhappy end at the film’s opening - revealing a flash of something angry and even violent in Undine. But in the midst of this traumatic episode, Undine is to have a fateful encounter with a strange man who has heard her lecture, and appears to be in love with her. This is Christoph, an underwater diver played by Franz Rogowski - a sensual screen presence with a little of Joaquin Phoenix. Soon Undine and Christoph are having a passionate affair, and he introduces her to his mysterious professional world, little guessing that she may be far more at home in it than he ever could be. Their relationship is passionately sensual, though Undine is perplexed at the sheer rapture with which Christoph listens to her lectures about Berlin’s planning history. Is there a metaphorical dimension to this? Maybe. Certainly their emotional connection has restored something like happiness to her, and effaced the mad furious unhappiness of her former liaison. But then she is to chance across Johannes once again and a terrible destiny begins to stir in those watery depths with which Undine feels such empathy. In truth, Undine is a bit of a shaggy dog story, or maybe a slimy giant catfish story; though it is just so skilfully made, beautifully acted and directed. Rogowski brings something unstable and dangerous to the part and so, in a more contained way, does Beer. What might this cast and this director do if they were working on a more compelling and substantial story? As it stands, Undine is a diverting and handsomely crafted piece of fantasy. • Released on 2 April on Curzon Home Cinema",Undine,FILM
211,Wilderness review – young lovers' lost weekend,"Here’s an interesting project from the film school at Falmouth University: a low-budget drama put together by four film-makers – including director Justin John Doherty and screenwriter Neil Fox, a Falmouth lecturer – with professional actors but otherwise crewed entirely by student first-timers skipping the intern phase. The result is rather lovely, a talky cine-literate portrait of a new relationship set in the 1960s. (I’m not sure you could make such an uncynical film about a couple falling in love in the present day.) It reminded me a little of Blue Valentine, without the messy raw bits, or the divorce – basically before Ryan Gosling gets a beer gut. There’s a nice emotional fluency to James Barnes’ performance as John, a thoughtful jazz musician who drives with his new girlfriend Alice (Katharine Davenport) to a cottage by the sea for the weekend. There is terrific chemistry between the pair; they can’t keep their hands off each other. But John has a gnawing fear that it won’t last, that love will fade. Alice is sunnier-natured, a bit careless of other people’s feelings. There are two crisis episodes over the weekend. John takes Alice for dinner at the house of old friends, another couple, who have left London. The husband Charlie (Sebastian Badarau) is a drummer who has given up touring to teach. Nothing much happens but it emerges that John hasn’t been honest about how well he knows the wife Francis (Bean Downes). Feeling betrayed, Alice ruthlessly flirts with both Charlie and Francis to punish him. Hungover the next day they get stranded on the beach as the tide comes in. Everything plays out in absorbing emotional detail. My only reservation with the film is how tasteful it is – from Alice’s chic boyish haircut to the Scandi-chrome coffee pot and the sweat-free sex. And it’s out of politeness perhaps that the film avoids the issue of race. John is black, and Alice is white, and there’s a nasty incident on the beach when a dog tramples their picnic. Its owner, a tweed-capped toff, is blatantly racist; it’s as clear as daylight. The couple talk about everything, but not this? • Wilderness is released on 5 April on digital platforms.",Wilderness,FILM
212,Selfie review – droll Gallic eye on slaves to the algorithm,"As ever-evolving technologies produce instant gratifications and fresh horrors, Selfie sees modern life as a tragicomic minefield fraught with absurdities. This French anthology film delivers biting social critique with a side helping of je ne sais quoi wit. Across five loosely connected stories from five seasoned film-makers (including Rust and Bone scriptwriter Thomas Bidegain), human idiosyncrasies are constricted by algorithms and reduced to likes. Though pushed to ridiculous comedic heights, Selfie’s cautionary tales are not so far-fetched. A married couple whose famous vlogs revolve around their son’s cancer scramble for content now that he is cured. In a reversal of stereotypes, a female teacher anonymously ambushes a viral male comedian with vicious tweets, only to pique his romantic interest. A seemingly content man slowly unravels as he blindly obeys his algorithmic ads. An awkward millennial manipulates his ratings on a dating app through nefarious methods. And finally, the farcical pièce de résistance: on an island with limited phone signals, a wedding goes haywire as a massive data hack reveals everyone’s dirtiest online secrets. All (digital) hell breaks loose. Underneath these satirical Black Mirror-esque scenarios are all-too-relatable emotional issues. The characters wrestle with online abuse, shopping addiction, stalking impulses and countless other urban malaises. Notifications overstuff their lives – and the film’s frame – yet leave them dissatisfied. No wonder they whisper online metrics as pillow talk. It’s a weakness that, for a film so heavily centred on social media, Selfie lacks tech savviness when it comes to certain platforms. For instance, in the “Vlog” section, it makes little sense that the couple’s videos fluctuate between two million views one moment and a measly 900 hits the next simply because of the cancer-free announcement. Nevertheless, Selfie’s cackleworthy dialogues and energetic performances more than make up for the occasional missteps. • Selfie is released on 26 March on Your Screen.",Selfie,FILM
213,"Last Call review – bad news, good booze","This soft-headed comedy-drama has the profundity and about the same wit level of one of those joke signs you see above bars, and often feels like it was scripted on a hangover after a two-day bender. Jeremy Piven plays Mick, prodigal real estate-developer son who returns to his old stomping ground of Darby Heights (based on Philadelphia’s Upper Darby) for his mother’s funeral. His feckless buddies, including jail-hopping brother Dougal (Zach McGowan), are still living their old boozy lives. What Mick thinks will revitalise the neighbourhood – and fend off the real-estate sharks circling, among other things, his dad’s pub – is a new casino. The obvious contradiction here – that Mick’s idea is ridiculous, and he is in fact part of what is threatening Darby Heights – is never meaningfully broached, as Last Call lets the hot topic of gentrification go begging. Director Paolo Pilladi and writer Greg Lingo (who is from Upper Darby) are so fired up making the film an ode to bar-room high jinks and blue-collar camaraderie that characterisation suffers. The boys call Mick out for forgetting his roots – but dragging him off for the umpteenth binge, they are mystifyingly unquestioning of his canvassing for the casino. Last Call visibly crunches gears when it does remember to tackle Mick’s divided loyalties, like when he (implausibly) asks one of his real-estate associates outside when he gets into a spat with a bar pal. The badinage is sporadically funny – even if it drifts too much towards the puerile, as with a running gag about Mick’s priapism problem. But any hope Last Call might skate by on working-class charm is hobbled by Pilladi’s timid direction: flat-footed and full of unimaginative choices. When Mick and his dad are having a heart-to-heart, Irish folk music lilts on the soundtrack; for the Greek family of Mick’s crush, Ali (Taryn Manning), it’s jaunty rebetiko. It all lets down an impressive cast that includes Bruce Dern, Raging Bull’s Cathy Moriarty and Scream’s Jamie Kennedy. One of the boys in Entourage, Piven breezes through likably enough – possibly they hoped that was a pass for the film’s flakiness. • Last Call is released on 29 March on digital plaforms.",Last Call,FILM
214,Paintball Massacre review – splatterhouse horror with scattershot acting,"This scruffy British-made comedy-horror, helmed by debut director Darren Berry, features a large ensemble cast with an extremely wide range of acting skills. Sadly, just as the story itself turns on how each individual’s flaws endanger the whole team, the same goes for the movie itself: thudding line readings and embarrassing bursts of overacting sully the better work on display. But maybe it’s a fool’s errand to expect much better from a film about a team of paintballers, all friends from a secondary school who graduated in 2004, being murdered one by one in comically grotesque ways in a tatty woodland area near a quarry. The makers have cited British comedy-horror features Hot Fuzz and Dog Soldiers as touchstones. Knowing that at least serves to help viewers appreciate how deftly the writer-directors of those earlier films, Edgar Wright and Neil Marshall, balance comic timing and tension-building, while coaxing good performances. But even they might have struggled with mayhem on a paintball course, a daft premise that isn’t exploited as well as it might have been – given how innately silly this mock military pastime is, one so beloved of middle-management types and macho-minded suburbanites. But at least Natasha Killip, as a filthy-mouthed, evil-tempered glamour model, and Aoife Smyth as a perpetually stoned fan of the Fast and the Furious franchise are around to perk up the scenes they’re in with well-timed insult comedy and stream-of-consciousness monologues about Vin Diesel and Paul Walker. Reliably funny comedian Katy Brand is also good for a few laughs as one of the paintball course’s marshals, especially when she is found lying irritably on the ground with half her intestines pulled out. The rest of the cast seems to consist mostly of interchangeable bearded white guys. • Paintball Massacre is released on 5 April on digital formats.",Paintball Massacre,FILM
215,Zana review – witchy wisdom and Lynchian shadows in Kosovan drama,"Lume (Adriana Matoshi) and her husband Ilir (Astrit Kabashi) managed to survive the late 90s war in Kosovo, but suffered the unthinkable loss of their young daughter, Zana, who was killed in crossfire. The years have passed on the farm where they live with Ilir’s formidable mother Remzije (Fatmire Sahiti), and the waters of everyday routine have flowed back into the scars. But Lume cannot let go of the past. Although seemingly the good, submissive little wifey that this close-knit, extremely old-fashioned society expects her to be, she’s racked with sorrow, and suffers from constant nightmares, featuring images that range from disturbing and bloody to downright David Lynchian, full of shadows and veiled figures backlit by moonlight. Remzije is pressuring Ilir to consider taking a second wife so that he can sire more children now that Lume can’t seem to get pregnant. In desperation, Lume agrees to see faith healers: the first, a witchy but wise woman in their own village; the second, a more sinister character who charges €500 per consultation and is prone to diagnosing demonic possession. Kosovan writer-director Antoneta Kastrati draws deep from the wells of both her homeland’s tragedy and her own in this disturbing, unnerving story. The flecks of horror in the way she handles some of the nightmare imagery may trigger some viewers to expect a different outcome from the deep drink of bleak we finally get served. Zana is a tough watch, but Matoshi’s fine-grained performance is a blessing to watch and there are incidental pleasures, particularly in the way the film languishes in the sultry, cruelly fecund landscape. On an anthropological level, there is something especially fascinating about this insider’s view of Kosovo society, where archaic beliefs about family mores rub up against people watching YouTube to learn new recipes for family meals. • Zana is on digital platforms from 2 April.",Zana,FILM
216,Oscars poised to loosen no-Zoom policy for this year's ceremony,"Producers for this year’s Oscars ceremony are said to be considering relaxing their policy of mandatory in-person attendance for this year’s nominees. According to a story in the Hollywood Reporter, the Academy has invited all nominees to participate in a Tuesday morning Zoom “conversation with show producers” Steven Soderbergh, Stacey Sher and Jesse Collins. This will include “updates about the show” as well as details on options should they need to participate remotely. Earlier this month, producers had said there would “not be an option to Zoom in for the show” and that nominees should turn up instead at Los Angeles’ Union Station, where this year’s ceremony will primarily take place. While most of this year’s nominees are based in the US, concern had been raised over the finances, logistics and safety of those based elsewhere flying to Los Angeles for the ceremony on 25 April. England has currently banned non-essential international travel until mid-May, although work exemptions are in place as evidenced by performers such as Harry Styles attending the Grammy awards earlier this month. Representatives of the five international feature films – submitted by Denmark, Hong Kong, Romania, Tunisia and Bosnia – could also face hurdles getting to Los Angeles. Speaking to the Guardian, Alexander Nanau, the director of Romanian film Collective, which is nominated for both best documentary and best international feature film, said: “We certainly hope to be there – provided it’s safe and logistics allow – but we trust the Academy will find a solution to accommodate nominees who face difficult travel restrictions.” Visitors to California are currently expected to quarantine for 10 days, incurring considerable expense and inconvenience, while the re-entry requirements for travellers back to their own countries vary widely. In some countries, visa offices remain closed.",Oscars ceremony,OTHERS
217,The Night review – eerie check-in at an LA hotel,"The fundamental creepiness of hotels is the driving force behind this very potent supernatural mystery-thriller from Iranian-American film-maker Kourosh Ahari: the creepiness of their deserted corridors, their stately or shabby lobbies, and their anonymous rooms, whose blankness keeps the secret of their previous occupants. It’s a creepiness that predates and is independent of Stanley Kubrick’s The Shining, though that’s admittedly an influence here. In modern-day Los Angeles, a young Iranian couple with a baby – Babak (Shahab Hosseini) and Neda (Niousha Noor) – are at a dinner party with friends in an unfamiliar part of town. They are tired and quarrelsome on the way home; Babak is really too drunk to drive, and Neda has lost her licence after an earlier run-in with a traffic cop, so they grumpily decide to check in to the nearest hotel. This turns out to be the Hotel Normandie (perhaps calling it “Hotel California” would have been too on-the-nose). The sinister receptionist of this odd establishment (George Maguire) tells them he only has a suite available: irritable and impatient, Babak takes it. So it is extremely disturbing for them to discover that they are in fact the hotel’s only guests, which moreover leaves them unable to explain the sudden heartstopping thumps on the door and the children crying for their mummy outside their room. Are they being haunted by some awful presence in the hotel, or by the festering secrets and lies in their own relationship? All these are ingredients for the kind of scary movie that’s usually a terrible cliche, and to be fair, there’s nothing obviously new about The Night. But it is put together with great style, force and visual imagination, and Ahari deftly uses the couple’s baby to ratchet up the tension. Uniformed authority figures, initially disturbing or intimidating, suddenly profess themselves to be entranced by the baby and ask if they may hold her – and somehow the couple can’t find a polite way of saying no. It delivers a clammy shiver of disquiet. • The Night is released on 2 April on digital platforms.",The Night,FILM
218,Tom Hanks’s son criticized for using ‘racist’ font on merchandise collection,"Chet Hanks, son of the Hollywood actor Tom Hanks, has been criticized for using a “racist” font on his new collection of merchandise which is also controversially called White Boy Summer. His black and white range of clothes, which include hoodies, T-shirts, shorts, tank tops, leggings, caps and bike shorts, has been called out online for its use of a Gothic-style font that is close to the one used by white nationalists. It’s also similar to the Fraktur fonts, which were used in Nazi Germany most prominently on the cover of Hitler’s Mein Kampf book. “Hmm unfortunately the merch looks aggressively racist,” wrote one commentator on Twitter, while another wrote: “Jesus. When I think of typefaces white people should avoid, anything remotely calligraphic/blackletter looking pops immediately to mind, especially if it’s going to include the word ‘White’.” While on Hanks’s official Instagram a user said: “Proud Boys are gonna buy these tf up.” The Proud Boys are a far-right US group and in September fashion line Fred Perry withdrew their polo shirts which had been adopted by them. Hanks, who raps under the moniker Chet Haze and has acted in the TV shows Shameless and Empire, came up with the term “White Boy Summer” on Friday – a play on the Megan Thee Stallion song from 2019 Hot Girl Summer. “I just got this feeling man that this summer … it’s about to be a white boy summer,” he said. “Take it how you want, I’m not talking about Trump, Nascar-type white. I’m talking about me, (rappers) Jon B. Jack Harlow-type white boys, you know what I mean? Let me know if you guys can vibe with that, and get ready. ‘Cause I am.’” In a video posted a few days later, he clarified: “You know what’s not White Boy Summer … is having any ill will or prejudice towards anybody from a different background, race, walk of life than you.” On Tuesday Hanks announced he was also launching a range of Black Queen Summer merchandise, using the same font. “I want to see some white boys and some black queens wearing each other’s shirts,” he said in a video introducing them. Hanks, who previously went viral in January of 2020 for using a Jamaican accent at the Golden Globes when his father won the Cecil B DeMille Award, is launching an online acting class The Actors Advantage on Monday. The Guardian approached him for comment.",Chet Hanks,OTHERS
