"    ","Title                                                                                         ",Text,central_entity,type
"412 ","I Am Samuel review – meditative, optimistic documentary on queer love in Kenya ","Filmed over five years, this documentary, directed by Peter Murimi, opens on a striking note that contrasts intimacy with cruelty. A date between Sam, the film’s subject, and his boyfriend Alex is juxtaposed with the brutal footage of a violent attack on one of Murimi’s own friends. Witnessing the tender connection between the couple in a society where people in such relationships can undergo physical harm as well as legal punishment affirms the courageous, moving joy of queer love and the bravery of the men who participate in the documentary. Having grown up in a small Kenyan village, Sam struggles with his sexuality until he moves to Nairobi, where he finds romance and acceptance. The bustling city might seem claustrophobic, with its rows of cramped apartments, yet introspective moments, captured by shots of laundry hung on balconies, gently rustling in the wind, offer breathing spaces. Back on the farm, Sam’s traditional, religious parents – his taciturn father is a Christian preacher – welcome Alex’s visits but still nudge their son to get married. The dynamic shifts when Sam finally comes out to his family. Sam is quiet on screen, so this film focuses on the rhythm of his private life: small gestures, such as when he kneads dough to make flatbreads or removes the kernels from his parents’ corn. This subdued approach poignantly conveys resilience; a harrowing attack aimed at Sam (and suffered by his roommate) is recalled by the victim in a matter-of-fact way. The fact that Murimi doesn’t sensationalise acts of discrimination only emphasises how painfully commonplace violence is in Kenya, but also suggests how queer solidarity and support are a crucial part of that same reality. The film is perhaps over compact, but its ending is heartwarmingly optimistic. • I Am Samuel is digital platforms from 3 June.",I Am Samuel,FILM
"413 ","Caveat review – give that creepy mechanical bunny a Bafta!                                    ","This first feature from writer-director-editor Damian McCarthy sounds like it’s been assembled from off-the-shelf horror movie components: a protagonist with amnesia, missing people, a maybe-haunted house on an island (with a basement!), a creepy toy animal, and flashbacks that require the viewer to keep track of hairstyles and beard lengths to tell where we are in the timeline. But McCarthy plays a fancy cinematic game of hide the lady, swishing the narrative cards around adeptly and finding fresh ways to imbue the material with an incrementally increasing sense of unease. Props are particularly due to the props department, or whoever was responsible for the design of the mechanical drumming rabbit toy that plays a key role – a creature with human-looking glass eyes that glare out from a beetled brow with a calibrated expression of wariness, aggression and complicity. Give that bunny a Bafta! Its co-star is Jonathan French, who plays Isaac, an amnesiac young man with an impressive red beard, hired by a stranger named Barret (Ben Caplan) to “babysit” his niece. This is Olga (Leila Sykes), a young woman prone to fits of catatonia and running off to stay in the house where her father, Barret’s brother, killed himself some time ago, not long after his wife went missing. Most people would be wary of any job offer, no matter how remunerative, under just those conditions, but the weirdest part is that Isaac has to wear a leather harness, attached by lock and key to a long chain anchored in the basement, because Olga, when not in a catatonic state, is terrified of men. Nevertheless, Isaac takes the job, and soon finds himself clanking about the building, peeping through roughly sawn holes in the wall, his face lit like Anthony Perkins in Psycho, and being freaked out by a painting that keeps falling down and changing its image when he’s not looking. The painting could be a metonym for the film itself, which seems to shapeshift under the viewer’s gaze. The effect is both modern in its oblique surrealism but also reminiscent of silent cinema. The final endgame is a little unsatisfying, but this is a very interesting debut for McCarthy. • Caveat is released on 3 June on Shudder.",Caveat,FILM
"414 ","Safe Inside review – a flawed thriller with a doozy of a twist                                ","Ana (Andrea Tivadar) and her boyfriend Tom (Tom Ainsley) are Americans travelling around Europe, who take a coach to a rural part of France where they expect to do farm work for a landowner, Richard (Steven Brand). The coach is involved in an accident, and when the two wake up everyone is gone, so they walk the rest of the way to Richard’s mansion. But Tom doesn’t get on so well with the landlord, and there’s something weird about the books in the house and records on the shelves. Everything is just a tiny bit skewwhiff in this intriguing but flawed thriller, starting with the fact that although it’s supposed to be set somewhere near Provence’s lavender fields and about two Yanks, director Renata Gabryjelska is Polish, Tivadar is British-Romanian, and the rest of the actors are mostly either Brits or Poles trying to sound French. Apart, that is, from the magnificent Joanna Kulig, star of Paweł Pawlikowski’s Cold War, who is largely wasted in a small role here. It was actually shot in Poland, which is why the architecture doesn’t look much like France at all. But it turns out everything makes sense in a way when the big twist kicks in, a real doozy that would be unfair to spoil. Unfortunately, that makes it very tricky to explain why the film doesn’t quite work. Basically, let’s say that the science part, on which the twist depends, is very tenuous indeed. And the script, by Błażej Dzikowski, based on an idea by Gabryjelska, isn’t nimble enough to dance around these core implausibilities. At least the cast is toothsome and pleasant to watch, especially Tivadar. • Safe Inside is released on 7 June on digital platforms.",Safe Inside,FILM
"415 ","Knots: A Forced Marriage Story review – bleak overview of marital coercion in America         ","There’s no rosy nostalgia to the wedding photos featured in Knots: A Forced Marriage Story, a 75-minute documentary written and directed by Kate Ryan Brewer that calls attention to the disturbingly few barriers against coerced marriage in the US. In succinct and gnawing first-person interviews, three women detail how intense parental pressure, teenage gullibility and isolation forced them into marriage with people they barely knew. There’s Nina van Harn, raised in the fundamentalist Christian patriarchy movement in rural western Michigan and married at 19 to a man selected by her father; Sara Tasneem, married at 15 to a 28-year-old stranger by her father; and Fraidy Reiss, paired by an Orthodox Jewish matchmaker in Brooklyn at 19. Along with the three women’s personal testimonies of coercion, confusion, shattered breaking points and eventual escape (all through arduous divorce proceedings), Knots weaves in bits of legal and historical context for a deeply troubling portrait of archaic marriage laws in the US. As the film points out, 48 states allow marriage for those under 18 through various exceptions, while 13 states have no age minimums for marriage at all. It’s a bleak picture, enhanced by Miriam Mayer’s spare, ominous score and recurring shots of a stirring dance performance by Bella Waru. Both gesture to the desperation, fear and anguish felt by the narrators, especially in regards to sexual trauma, which is referred to openly but not discussed in great detail. The spectre of coerced consummation is harrowing enough; Sara, at 15, was so unaware of what marriage entailed that she remembers asking her adult escorts to the wedding where she’d be sleeping that night. Knots is a straightforward advocacy film, and that’s fine: you don’t need cinematic bells and whistles to marvel at the women’s astounding resilience, or writhe at the gaslighting lines about honour, duty, and respect they were fed for years. There’s little faith to be found in the US political system, which has been slow to enact child marriage protections, but Knots offers three testaments to the human spirit, and the ability to start anew. • Knots: A Forced Marriage Story is released on 4 June on digital platforms.",Knots: A Forced Marriage Story,FILM
"416 ","Felix and the Hidden Treasure – family animation flounders as satire                          ","This is a semi-entertaining, reasonably decent family animation that begins promisingly with a swell of adventure as a young boy sets sail in a boat in search of his missing dad. But after a couple of hastily resolved peril-at-sea moments (“We’re done for! We’re saved!”) the script lurches into a bizarrely un-childfriendly storyline about a secretive cult. The boy is 12-year-old Felix (nicely voiced by Daniel Brochu), who lives in Quebec’s Magdalen Islands with his mum and little sister. Two years earlier, his fisherman dad was lost at sea. Any hope that he might be alive is long gone, but Felix is determined to search the island where he was last spotted. He ropes in grumpy lighthouse-keeper Tom to help – a real old Captain Birdseye with a bushy beard and eyebrows like furry white caterpillars. There are some gracefully animated scenes as the pair sail off, all glowing sunsets and churning waves. But when they get shipwrecked, it all goes headspinningly wrong. They discover that an evil cult has built an underground city on the island where Felix’s dad went missing. The group’s leader Morgäa (Karine Vanasse), a woman with flicky, over-the-top Real Housewives hair and bling sunglasses, rejects the label “cult”. “The residents come here entirely of their own accord,” she trills. “They’ve adopted a peaceful, sincere lifestyle based on principles of harmony.” This satire of lifestyle gurus here is pretty low on gags, and it’s hard to see how it will connect with younger viewers. The rest of the movie plays out in standard kids’ entertainment frantic mode, the group’s security beefcakes chasing Felix and Tom around, everyone bopping each other on the head. Spoiler alert: Morgäa’s power is linked to immortality; adults get turned into babies, kids are threatened with premature ageing. It’s a neat idea, but the script doesn’t take it anywhere interesting. • Felix and the Hidden Treasure is released on 4 June in cinemas.",Felix and the Hidden Treasure,FILM
"417 ","Lupin III: The First review – spectacular return for the legendary gentleman thief            ","Lupin, the legendary gentleman thief who jumped from the pages of the original Monkey Punch manga to numerous animated features and TV series, not to mention music CDs and video games, returns to the screen in the first iteration of the character in CG animation. This is a family-friendly interpretation from writer/director Takashi Yamazaki, sidestepping the raunchiness of some other adaptations, though retaining a heroic, cheeky and charming flair. This time around, the adventure of the daredevil thief is a little thin in terms of plot, yet dazzling in its execution. A decade after the end of the second world war, Lupin attempts to steal a diary containing secret inventions that caused its owner, the famous archeologist Bresson, to be shot dead by Nazis. During his quest, Lupin crosses path with Laetitia, an archeology student who is after the treasured item on behalf of her adopted grandfather; she is unaware that the latter is a Nazi sympathiser. When her eyes are opened to the old man’s nefarious intentions, she joins forces with Lupin and his sidekicks Jigen and Goemon, to stop the evil Nazis from securing Bresson’s all-powerful machine. As the film leaps across numerous continents, the gorgeous animation is on full display, capturing the striking hues of dusk hitting the Parisian rooftops as brilliantly as the sandy highlands in Mexico. Lupin III: The First stays true to the spirit of earlier anime renditions while showcasing the distinctive 3D look of CG animation; the spectacular sequence where Lupin zips through deadly laser rays while Yuji Ohno’s classic theme jazzily swells will impress even the most ardent of fans. Forgettable story aside, the film is a visual treat, full of joy and zaniness. • Lupin III: The First is released on 2 June in cinemas.",Lupin III: The First,FILM
"418 ","Jodie Foster gets honorary Palme d’Or from Cannes film festival                               ","Jodie Foster is to be awarded an honorary Palme d’Or by the Cannes film festival. Foster, who has won two Oscars for best actress (for The Accused and The Silence of the Lambs), will also be the festival’s guest of honour at its opening ceremony on 6 July. She first attended Cannes as a 13-year-old in 1976 as a cast member of Taxi Driver, which went on to win the Palme d’Or. Her third film as director, The Beaver, was screened out of competition at the festival in 2011, as was her 2016 thriller Money Monster. Foster said: “Cannes is a festival to which I owe so much, it has completely changed my life. Although I had directed before, my first time on the Croisette was a defining moment for me. Showcasing one of my films here has always been a dream … Cannes is a festival by auteur film-makers who honour artists.” Festival president Pierre Lescure said: “Jodie Foster has provided us with an amazing gift by coming to celebrate the return of the festival on the Croisette.” Cannes general delegate Thierry Frémaux added: “Jodie never ceases to reinvent herself. She questions with her piercing gaze, learns from others, and is willing to step back from her beliefs in order to forge new morals.” Lescure and Frémaux are due to announce the festival’s lineup on 3 June after a series of delays to the event caused by the Covid pandemic. It is scheduled to go ahead in July, but new travel regulations brought in by the French government may prevent delegates from the UK from attending.",Jodie Foster,PERFORMER
"419 ","Life in a Year review – Cara Delevingne and Jaden Smith in vacuous cancer weepie              ","“I don’t believe in happy endings,” Cara Delevingne shouts at Jaden Smith in this gushing, sobfest cancer romance. She plays Izzy, a Pittsburgh teenager diagnosed with stage three ovarian cancer and given less than a year to live. Izzy is a character you might recognise from other movies: the pretty cancer-patient girlfriend. Her job here is to be life-affirmingly brave and then die (tastefully), thus enriching her boyfriend Daryn (Smith) with a tragic yet alluring backstory. Which is a shame, because Delevingne gives an impressive performance; not convincing exactly, but likable and charismatic. And to be fair, Izzy is a paper-thin character – on paper, she must have looked like a collection of cliches. Izzy grows up on the wrong side of town, raised from the age of six by the babysitter after her drug-addict mum walked out. She’s tattooed and tough on the outside, with blue hair, and a sweet-natured and courageous soul. Smith, on the other hand, is a tad bland as rich kid Daryn, an outstanding student being groomed for greatness by his dad (Cuba Gooding Jr). Secretly, Daryn dreams of becoming a rapper; and here’s where Izzy comes in useful with her grab-life-while-you-can dying-girl wisdom. The pair meet when they both gatecrash a rap gig. Izzy nicknames Daryn “Square”. The blue hair turns out to be a wig: she lost her hair during chemo. When he finds out she’s dying, Daryn decides to cram a lifetime of milestones into their short year together. The upbeat montages of the two seizing the day and the slo-mo panic dashes to A&amp;E feel like scenes shuffled from a dozen terminal-illness weepies. Depressingly, Izzy seems to have absolutely no friends or dreams of her own. Nothing here is real-world or complicated – though there are a couple of conspicuous attempts: in one scene, Smith dons a pair of rubber gloves to wash a bedpan. It’s a fairytale high on teenage narcissism: parents are either absent or eventually humbled by their wise-hearted offspring. Still, as these films always do, it gets you in the end with a left hook to the tear ducts. I was genuinely seething at being manipulated by such mawkish baloney. • Life in a Year is released on 7 June on digital platforms.",Life in a Year,FILM
"420 ","The Killing of Two Lovers review – a riveting portrait of male rage                           ","Pain and rage pulse through this superbly made drama about marital breakdown and male humiliation. The tension is cranked up in its shocking first scene, which works cleverly in tandem with the title, but writer-director Robert Machoian is asking us: which two lovers does that mean, exactly? And what should we make of the very last scene? Does it show us acceptance, despair, or both? David, played by Clayne Crawford, is a married guy in small-town Utah who had dreams of being a singer-songwriter but now does odd jobs; he is separated from his wife Nikki (Sepideh Moafi), a high-flying lawyer, and their four young children. The couple have apparently agreed that she should have the large family house because the children are happier there with her, so David gets to live like a superannuated kid with his ailing widower dad in his ramshackle childhood home nearby. With elaborate formalised courtesy, David and Nikki have agreed that they are “working things out” and “can see other people”, but David is very much aware that it is only Nikki who is seeing someone else: fellow lawyer Derek (Chris Coy), who gets to stay over with the kids in the house. David only wants to get back together, and his rebellious eldest daughter Jess (Avery Pizzuto) hates Derek, hates Nikki, and most of all hates David for being a “loser dad” and accepting it all so meekly. It is having to explain himself to Jess, having to say out loud that he is a pathetic beta male who won’t fight for his family – a mortification he is willing to accept for the sake of children who may actually grow up to despise him – which plants the seed of violence. For all that we might sympathise with the woeful David, who knows how much he was originally at fault? And how much has Derek been told about it? Machoian, who is also the editor, composes each scene with studied care and Oscar Ignacio Jiménez’s clear, crisp cinematography and framing is beautifully achieved. This is a compelling portrait of a toxic marriage. • The Killing of Two Lovers is released on 4 June in cinemas and on Curzon Home Cinema.",The Killing of Two Lovers,FILM
"421 ","John Boyega exits Netflix movie mid-shoot for ‘family reasons’                                ","Actor John Boyega has left the Netflix thriller Rebel Ridge mid-shoot because of “family reasons”. According to Deadline, the Small Axe star, who recently won a Golden Globe for his performance in the acclaimed series, has exited the project and will not be returning. Filming started at the beginning of May. “Rebel Ridge is pausing temporarily as we look to re-cast John Boyega who needed to leave the project for family reasons,” a spokesperson told Deadline. “We remain committed to Jeremy Saulnier’s extraordinary film and look forward to resuming production. We look forward to continuing our partnership with John Boyega’s UpperRoom Productions, in addition to our upcoming film They Cloned Tyrone in which he also stars.” Boyega was set to lead the film, from the Green Room director Jeremy Saulnier, which was originally set to shoot in April 2020 until the Covid-19 pandemic. It’s described as “a high-velocity thriller that explores systemic American injustices through intense action sequences, suspense and dark humor”. The remaining cast includes Don Johnson, AnnaSophia Robb, James Cromwell and Emory Cohen. Saulnier broke out with revenge thriller Blue Ruin in 2013. Boyega recently completed the sci-fi comedy They Cloned Tyrone for Netflix, starring alongside Jamie Foxx, Teyonah Parris and Brian Tyree Henry and will next be seen in legal thriller Naked Singularity. It was also recently announced that he will return for a sequel to Attack the Block, the hit adventure that first made him a star. “Yes Attack the Block 2 is happening!” he wrote on Instagram. “Yes I’ll be starring and producing! Yes I’m bloody excited ! London VS them tings.” Further details on Boyega’s departure are as yet unknown.",John Boyega,PERFORMER
"422 ","Gunda review – snuffling about in the secret life of pigs                                     ","The secret life of farm animals remains a secret, but a fascinating and even poignant one, in this strange and unexpectedly subtle film from the Russian documentary-maker Viktor Kossakovsky, whose last movie, Aquarela, was a disturbing meditation on the climate crisis. It’s an extended, black-and-white study of a farmyard sow whose name is presumably Gunda, although the humans who would have given her this name are never shown. There are no people. No dialogue. Just animals. The camera follows this sow around the farm, just after farrowing, and we see the tiny piglets suckling; and later these same piglets, much bigger, still suckling and jostling. We also see the sow’s fellow beasts, including a one-legged chicken and some cows who are shown running in slo-mo – the film’s one bit of over-aestheticisation, which is a misjudgment. Are they all living on the farm together? Maybe not. A closing note on the credits reveals that this was filmed on farms and sanctuaries in Norway, Spain and the UK. Kossakovsky has crafted a fiction, to some extent. (And who knows, maybe the ambient farmyard sounds have also been cheated.) But the film shows something interesting: simply by closing in on the pig’s eyes, it insists on something uncanny. Gunda’s eyes look haunted and sad. The cow’s eyes, on the other hand, seem cold and haughty. Anthropomorphism? Yes, of course. But there is a painful and even tragic meaning that is hidden everywhere on the farm: all these animals are bred to be used and killed and Kossakovsky enigmatically keeps his camera on Gunda after her piglets are finally taken away from her. Gunda seems confused, disoriented, perhaps even stunned. But there is no emotional history here, no emotional affect. The animal just keeps on existing. Gunda has something in common with brutally revelatory documentaries such as Georges Franju’s Blood of the Beasts or Nikolaus Geyrhalter’s Our Daily Bread, which showed the reality of animal slaughter. This shows the weird, blank emptiness that surrounds animals when the fact of slaughter is just out of shot, the empty waiting that precedes the main event. • Gunda is released in cinemas on 4 June.",Gunda,FILM
"423 ","Dream Horse review – true story of a Welsh village that bought a racehorse is a winner        ","Six years ago I found myself gripped by the overwhelmingly likable documentary Dark Horse, which told the amazing true story of Janet Vokes, a former whippet breeder and pigeon fancier from the depressed Welsh village of Cefn Fforest who organised a community syndicate to buy a racehorse. The drinkers at Jan’s local chipped in a weekly £10 sub and their horse, symbolically called Dream Alliance, wound up winning the Welsh Grand National, basically making it the Seabiscuit of the valleys. I predicted at the time that this would be remade as a fiction feature with Imelda Staunton as Jan and Jim Broadbent as her hangdog husband Brian. Well, actually it’s Toni Collette and Owen Teale, with Damian Lewis playing Howard Davies, the local tax accountant and breezy man-of-the-world whose dangerously addictive love of horseracing inspires Jan. The resulting movie may be a bit schmaltzy – actually, a lot schmaltzy – but I couldn’t help enjoying it: like Chariots of Fire, only with horses. That comparison, however, may be down to Chariots cast member Nicholas Farrell here playing the shrewd professional trainer Philip Hobbs. This movie gets a real gallop on, due to the sheer warmth of its performances. Collette, that perennially excellent actor who utterly inhabits every part, gives us a wonderfully approachable Jan: shy, yet tough and determined. Lewis is robust and yet very sympathetic as the rakish Howard who has come very close in the past to losing his shirt to the sport of kings. And it is a treat to see Joanna Page as Howard’s wife Angela and a cameo for Siân Phillips as Maureen, a local woman with a passion for Tunnock’s Tea Cakes. My only slight quibble is that the film’s title, Dream Horse, sounds like something chosen by an algorithm. Why not stick with Dark Horse? Well, no matter. It’s a winner. • Dream Horse is released on 4 June in cinemas.",Dream Horse,FILM
"424 ","Anthony Bourdain: trailer released for Oscar-tipped documentary Roadrunner                    ","Roadrunner, a new documentary examining the life, death and legacy of Anthony Bourdain, has released a first trailer. The film, which is directed by Oscar-winner Morgan Neville, splices unseen and archive footage of the much-loved chef, author and TV star with new talking-head interviews from those close to him. Bourdain’s own voiceover is used, so he appears to narrate his own story. Bourdain killed himself aged 61 in June 2018 while in France shooting a TV show, and the film suggests he may have found it difficult to speak to people about his mental health. Neville’s previous work includes 2018’s Won’t You Be My Neighbour?, an affecting look at the life of children’s TV icon Fred Rogers, which became the top-grossing biographical documentary ever produced. He also won an Oscar for his 2013 study of backing singers, 20 Feet from Stardom. In the UK and Ireland, Samaritans can be contacted on 116 123 or email jo@samaritans.org or jo@samaritans.ie. In the US, the National Suicide Prevention Lifeline is 1-800-273-8255. In Australia, the crisis support service Lifeline is 13 11 14. Other international helplines can be found at www.befrienders.org.",Roadrunner,FILM
"425 ","Tom Cruise’s Mission: Impossible 7 production temporarily shut down due to coronavirus case   ","Paramount Pictures has temporarily shut down production on the British set of Tom Cruise’s seventh Mission: Impossible film after someone tested positive for coronavirus. “We have temporarily halted production on Mission: Impossible 7 until June 14th, due to positive coronavirus test results during routine testing,” a Paramount spokesperson said on Thursday. “We are following all safety protocols and will continue to monitor the situation.” The company provided no further details. In December, Cruise launched an expletive-laden rant at colleagues on the Mission: Impossible set, after apparent breaches of on-set social distancing guidelines. In an audio recording released by The Sun, Cruise can be heard shouting and swearing at film crew on the project, of which is he one of the producers, warning that anyone caught not following the rules to stay at least 2m (more than 6.5 feet) away from others will be instantly dismissed. On the recording Cruise can be heard shouting: “I don’t ever want to see it again, ever! And if you don’t do it, you’re fired, if I see you do it again, you’re fucking gone. And if anyone in this crew does it – that’s it, and you too and you too … don’t you ever fucking do it again.” “That’s it! No apologies. You can tell it to the people that are losing their fucking homes because our industry is shut down. It’s not going to put food on their table or pay for their college education.” The film, which paused production for months early last year along with the rest of the film industry when the coronavirus pandemic took hold, is scheduled to be released in 2022. • Associated Press contributed to this report",Mission: Impossible 7,FILM
"426 ","A Quiet Place Part II review – slick horror sequel                                            ","John Krasinski’s slick, skilful follow-up to his 2018 post-apocalyptic thriller works well as a genre exercise; with patriarch Lee (Krasinski) sacrificed to the first film, Evelyn (Emily Blunt, Krasinski’s real-life partner) and her three children must once again outwit an army of aliens with exceptional hearing. The brains behind the operation is the hearing-impaired Regan (Millicent Simmonds), who is teamed up with reluctant protector Emmett (Cillian Murphy) while Noah Jupe’s nervy little brother tends to the family’s newborn. To suggest Krasinski is only interested in surface thrills feels at odds with the seriousness of his craft. Judicious pacing, clever cross-cutting and visceral sound design build tension, but there’s an absence of soul, and no satisfying sense of what the monsters might be a metaphor for.",A Quiet Place Part II,FILM
"427 ","Ahead of the Curve review – in praise of the pioneering lesbian magazine                      ","This fervently supportive documentary about the iconic lesbian magazine Curve and its founder-publisher Frances “Franco” Stevens is directed by Stevens’s wife, Jen Rainin, and it’s both energised and hindered by her preaching-to-the-choir approach. Stevens was a San Francisco woman who in the 1980s got married young, came out as lesbian, was shunned by her family and briefly became homeless. In 1990, she launched what was then called Deneuve magazine by maxing out a handful of brand new credit cards, betting everything at the horse races – and winning big. It’s a staggering story, virtually the American dream in action, especially as Deneuve went from strength to strength, with celebrity interviews, national ads and rocketing circulation. Stevens had the courage and vision to put the word “lesbian” on the cover, and gay women responded passionately to her mission to bring them visibility. In 1995, French movie star Catherine Deneuve sued the magazine for trademark infringement, after which it changed its name to Curve. Actually, Stevens has always denied that that it was named after Catherine Deneuve, and a brisker-minded documentary with more objective journalistic nous might have pressed her harder on this and other points, and tried interviewing Deneuve herself. Stevens became disabled after an accident two years later, and the stress led her to sell the magazine to another publisher; she was forced to look on aghast from the sidelines as her creation (like all print publications) struggled in the digital age. But even more seriously, the new Curve removed the word “lesbian” from the front cover because it was perceived as exclusionary by younger generations of queer women. Stevens had campaigned so fiercely against the erasure of lesbianism. So how does she feel about that? This film never really tackles such difficult questions, but it’s a valuable portrait of a great risk-taker. • Ahead of the Curve is released on 4 June in cinemas and on digital platforms.",Ahead of the Curve,FILM
"428 ","Gunda review – immersive pig’s-eye view                                                       ","A sow and her litter of adorable piglets are the subject of this memorable documentary from Russian director Viktor Kosakovskiy (Aquarela), executive produced by Joaquin Phoenix. Kosakovskiy doesn’t attempt to assume the point of view of the pigs, but for 90 minutes he lives among them, his camera taking up residence inside their barn and roaming their pasture at eye level. He also visits and observes their neighbours, including a tentative flock of chickens and a herd of stoic dairy cows. There is no narration, no subtitles and no musical score but, instead, an immersive soundscape of farmyard grunts and squelches. To call the film meditative would be to undersell Kosakovskiy’s instinct for drama and tension. The director gravitates towards runts and stragglers, such as a piglet buried beneath a pile of hay and unceremoniously crushed by its mother. A one-legged chicken is treated with similar reverence. The crisp black and white digital cinematography emphasises the piglets’ downy fur, sleepy eyes and softly rising bellies. It’s an encouragement to acknowledge the beauty, texture and aliveness of the animals. Less successful is the invitation to project interiority on to the creatures’ inscrutable faces – the way the camera fixes on a cow’s intense stare, for example, feels like a call to imbue its gaze with emotional significance.",Gunda,FILM
"429 ","The Killing of Two Lovers review – heartbreaking separation drama                             ","A striking opening scene sees David (Clayne Crawford) pointing a gun at his sleeping wife. Whether or not he’ll snap hangs over the remainder of this lean, stylish and frequently heartbreaking drama set in rural Utah, against a backdrop of Parma Violet skies. Crawford is brilliant and bitter as a soon-to-be divorced dad unable to accept his fate. The recurring sound of a car door slamming haunts the film, the ghost of a car-bound confrontation between David and Nikki (Sepideh Moafi). Though they are oceans apart emotionally, the scene plays out entirely in closeup. • In cinemas and exclusively on Curzon Home Cinema",The Killing of Two Lovers,FILM
"430 ","Dream Horse review – hope and hwyl in a one-horse town                                        ","“£300? Could’ve gone to Benidorm for that,” scoffs Brian (Owen Teale). His overworked and underappreciated wife, Jan (Toni Collette, luminous and easy to root for), has spent 300 quid on a mare with a syndicate of locals, hoping to breed a racehorse to compete with the best. It’s a wise investment, as Dream Alliance turns out to be a winner and a symbol of hope in Cefn Fforest, an economically depressed former mining village in Wales. But they’re not doing it for the money – it’s for the “hwyl”, a Welsh word meaning “emotional motivation and energy”. With its hero’s journey structure, punchily edited racing scenes and warmly drawn oddball community (a widow, Maureen, is obsessed with Tunnock’s Tea Cakes), the film is shamelessly predictable and thoroughly feelgood.",Dream Horse,FILM
"431 ","Land review – Robin Wright goes mild in the country                                           ","Edee (Robin Wright, who also directs) ditches her phone, abandons her car, and isolates herself in a remote cabin in Wyoming, attempting to bury her grief in the mountains. Except she’s woefully unprepared, unable to chop wood or read a compass, never mind catch and kill her own food. “This isn’t working,” she screams in frustration, and so the film wisely changes tack halfway through, shifting from survivalist drama into melodrama. Edee is rescued by Miguel (Demián Bichir), a handsome man in a cowboy hat who gently brings her back to life with quiet companionship, hunting lessons, and Tears for Fears karaoke. “Only a person who has never been hungry would think starving is a way to die,” says Miguel, gently prodding at Edee’s privilege (and putting the film in conversation with others in which educated, unhappy white people pursue minimalist living – think Nomadland, Wild, Into the Wild). Wright is sympathetic and believable, but we never truly get a sense of Edee or her desires outside the bounds of her loss.",Land,FILM
"432 ","Carey Mulligan and Zoe Kazan to star as reporters who exposed Weinstein                       ","Carey Mulligan and Zoe Kazan are set to take on the roles of the reporters who exposed Harvey Weinstein. In She Said, the pair will play Megan Twohey and Jodi Kantor, the New York Times journalists whose landmark expose helped to bring down the movie mogul accused and ultimately convicted of sexual assault. The film is an adaptation of the pair’s bestselling book She Said: Breaking the Sexual Harassment Story That Helped Ignite a Movement, which details their Pulitzer prize-winning work that exposed Weinstein as a predator. He was sentenced to 23 years in prison. The Guardian’s Helen Lewis praised the book as “a hymn to old-fashioned investigative reporting” comparing parts of it to All the President’s Men. The spirit of the adaptation is being likened both to the Watergate drama and the Oscar-winning Spotlight about a team of journalists investigating allegations of sexual abuse within the Catholic church. The Universal Pictures project will be directed by Maria Schrader, who recently won an Emmy for her work on the hit Netflix drama Unorthodox. The script will come from British playwright and screenwriter Rebecca Lenkiewicz whose big screen work includes Ida and Disobedience. The news comes after Mulligan received rave reviews and awards attention for her role in the revenge thriller Promising Young Woman. She is currently filming fact-based sci-fi drama Spaceman alongside Adam Sandler. Kazan, best known for her performance in The Big Sick, was most recently seen in HBO’s miniseries The Plot Against America. She is also set to star in social media-based drama series Clickbait with Adrian Grenier. Mulligan and Kazan have previously co-starred on stage in a Broadway production of The Seagull.",Carey Mulligan and Zoe Kazan,PERFORMER
"433 ","Parallel review – alternate reality thriller turns out deeply conventional                    ","Arthur C Clarke once said that there are two possibilities. Either we are alone in the universe or we are not: both are terrifying. But the funny thing in this sci-fi thriller – about parallel universes rather than alien lifeforms – is quite how unterrified, or even awestruck, these four Seattle housemates are when a mirror in their attic turns out to be a portal to a “multiverse” of alternate realities. They barely pause to register the uncanny weirdness of bumping into versions of themselves. Nope, they move straight on to the important matter of making money. What they discover is that the parallel universes (or “alts” as they call them) tick along much like our world: same major events but with slight divergences, particularly in industries like art and tech. “Look, Mona Lisa’s hair is short!” exclaims Leena (Georgia King) flicking through an art book in an alt. (It’s perhaps best not to dwell on the logical impossibilities.) So, this mediocre bunch start stealing ideas from the alts and passing them off as their own – a shortcut to greatness. Ruthlessly ambitious Noel (Martin Wallström), fancying some Elon Musk-style world tech domination, pops behind the mirror to stock up on innovations by actual geniuses. Leena, a struggling artist, appropriates work by a leading painter in an alt and becomes an art world sensation, only to experience a wave of self-loathing. The ideas here present an interesting variation of traditional sci-fi themes from movies such as Groundhog Day, Primer and Flatliners. So it’s a shame that the script goes down the conventional thriller route: success tests the group’s friendships, and there are a couple of showdowns involving guns (neatly solved by the ease of disposing of bodies in other universes). It’s watchable, but don’t expect your mind to be blown – more gently prodded. • Parallel is released on 14 June on digital platforms.",Parallel,FILM
