Title,Text,central_entity,type
The Wacky Hen review – circus comedy is a flightless flop,"This animated Argentinian-Spanish co-production offers a pretty undistinguished tale of a zero-to-hero talking creature (a scrawny, bug-eyed hen named Turuleca, voiced by Elisabeth Gray) who joins the circus and becomes a star – though it’s fair to say that the character, lighting and set designs are often striking. Even so, most of the nice, more-central-to-the-plot characters are very bland, while Turuleca herself is an emphatically hideous creation. On the other hand, there’s a higher degree of craft to the villains and secondary cast members, with their gargoyle faces and stylised figures. The opening act, where our avian heroine is acquired by sweet little old retired music teacher Isabel (Roxanne Bachmann), seems to augur the usual hyper-idealised view of farm life. But when Isabel falls off a roof and has to go to hospital to recover from amnesia, things kick up a notch: Turuleca, on her way to find her mistress, falls in with a troupe of circus folk. The dancing, songs and assorted circus-y antics strike a nice balance between the fantastic possibilities of the cartoon form and enough verisimilitude to keep more literal-minded kids engaged. And it’s a nice touch that this very modern, ethical circus won’t use animal acts because animals can’t give their consent – a rule that’s cleverly circumvented here by having a sentient, talking chicken as its protagonist. The voice acting from the cast for this dubbed-into-US-accented English version is also serviceable if not particularly outstanding. At least the maladroit song translations from Spanish into English create hilariously inept lyrics that sometimes don’t even bother to rhyme. • The Wacky Hen is available on digital platforms from 25 January.",The Wacky Hen,FILM
Cannes film festival 2021 to be delayed until July – report,"The Cannes film festival will be delayed from its customary May slot until July, it has been reported. According to Variety, the festival’s organisers will announce new dates for the 2021 edition this month, after last year’s event was called off following a series of postponements. According to the report, the organisers have confirmed their resolve to host a physical event in 2021, after the cancellation of Cannes in 2020 dealt a body blow to the international release circuit. If the festival does move from May, July appears the most likely timeslot: later in the year would precipitate a clash with major festivals such as Venice and Toronto, which normally take place in the last week of August or the first week in September; while space in Cannes in June is already taken by the Cannes Lions advertising festival, which is due to go ahead as planned. Variety suggests that the Cannes hotel organisation, the Syndicat des Hotels de Cannes et du Bassin Cannois, has been already told the festival will move to July – normally peak tourist season, but currently badly hit by the pandemic travel restrictions. A local hotelier is quoted as saying: “The dates we’ve agreed on are between July 5-25. So, the festival could start roughly around July 5, or a few days later.” According to an interview in French magazine Les Inrockuptibles, Cannes general delegate Thierry Fremaux has also raised the possibility of extending the festival’s length due to the likelihood of a backlog of high-quality films delayed by the pandemic. After the festival was called off in 2020, Fremaux presented a selection of over 50 films, including Wes Anderson’s as-yet-unreleased The French Dispatch, Pixar animation Soul, which premiered on streaming platform Disney+ in December, and Lovers Rock and Mangrove from Steve McQueen’s Small Axe anthology for the BBC.",Cannes film festival 2021,OTHERS
Tokyo Dragon Chef review – ramen-themed yakuza musical comedy,"Cult Japanese filmmaker Yoshihiro Nishimura, who started off doing special effects before moving into the director’s chair, is best known for pulpy, action-horror fare with self-explanatory titles such as Mutant Girls Squad and Tokyo Gore Police, as well as the more enigmatically monikered Meatball Machine Kodoku. Tokyo Dragon Chef, I’m assuming, lies tonally between the one about gore police and the one about meatball machines given it’s about a pair of ageing yakuza thugs, Ryu (Yasukaze Motomiya) and Tatsu (Yoshiyuki Yamaguchi), who decide to open a ramen restaurant. Their speciality, which does indeed look darn tasty, is a recipe Tatsu honed while doing time and working in the prison’s mess hall, a kind of ma po tofu with ramen. Soon, their tiny venue is drawing rave reviews from YouTubers and a pretty schoolgirl (played by pop star Rinne Yoshida) comes round to sing songs about ramen because – of course – this is also a musical. But then another pair of rival ex-yakuza types (the joke is that all four actors used to play gangsters in straighter films back in the day) start up a food truck business selling ramen across the street. What’s more, they’ve hired a buxom, pink-haired creature in a latex bodysuit (Saiko Yatsuhashi) who may not actually be human and somehow never feels the strain of the enormous quantities of food she can eat. The Japanese dialogue is probably much funnier than the subtitles make it seem, but it’s hard not to suspect that even native speakers might find the film’s concept more amusing than its execution. You have probably seen TikTok videos with more budget than this film. But it’s playful and brisk, and what’s not to love about any movie that has baddies who go around with giant eyeball masks on their heads, just like the immortal experimental punk band the Residents? • Tokyo Dragon Chef is available on digital platforms from 25 January.",Tokyo Dragon Chef,FILM
The White Tiger review – gripping adaptation of Aravind Adiga's class parable,"Powered by a surging, impatient energy and a bracing undercurrent of spite, Ramin Bahrani’s version of Aravind Adiga’s 2008 Booker prize-winning novel is one of the more successful literary adaptations of recent years. The story of a poor but wily driver who claws his way out of the cage created by caste and servitude to become a success story in the new India, it’s not subtle in approach. Nor should it be: it’s a full-blooded assault on a rigged system designed to keep the privileged in their lofty place and the poor on the streets far below. Although it leans heavily on narration, the film’s skittish cinematography brings texture to the backdrop and a satisfying depth to the characters. The narrator is Balram (Adarsh Gourav, excellent in a slippery, hard-to-like role); he’s smart and ambitious, but destined to work on his family’s tea stand. Spotting an opportunity, he learns to drive, masters the flattery that the upper classes expect from their servants, and inveigles himself into a driving job for Ashok (Rajkummar Rao). Balram brings total loyalty to his urbane, US-educated new boss. But loyalty cuts both ways. When Balram is betrayed by his employers, his ingratiating smile curdles, and generations-worth of suppressed anger finally erupts. In contrast to the empathic embrace of Bahrani’s early films (Man Push Cart; Chop Shop), this is harder, more cynical. But we don’t need to warm to the characters to be enthralled by this compulsively watchable class parable. On Netflix",The White Tiger,FILM
Baby Done review – Rose Matafeo carries tinder-dry pregnancy comedy,"A chirpy, good-natured pregnancy comedy from New Zealand, Baby Done is carried by a no-nonsense performance from standup comedian Rose Matafeo. She plays Zoe, a professional tree surgeon who is completely unprepared for her unplanned pregnancy. While her partner, Tim (Harry Potter alumnus Matthew Lewis), embraces the idea of parenthood, Zoe frets over the unfinished adventures on her to-do list. Tinder-dry delivery bolsters the film’s gentle humour, and while the momentum sags a little in the second half, the natural chemistry between Matafeo and Lewis keeps the audience invested and the story relatable. On multiple digital platforms",Baby Done,FILM
76 Days review – harrowing account of the incubation of the coronavirus,"Winter 2020 in Wuhan, China: ground zero for the coronavirus epidemic. This urgent fly-on-the-wall documentary, shot in four hospitals during the 76 days of lockdown in Wuhan, shows the “fearless soldiers”, as one grateful patient describes the doctors and nurses, on the frontline of a battle with a then unknown foe. It is, at times, harrowing. The film doesn’t shy away from grief at its rawest, fear at its most paralysing. There are moments – the swollen fingers of an elderly patient clinging to the hand of a stranger invisible behind layers of PPE – that are wrenchingly sad. But crucially, there’s also an element of hope and even humour in this affecting tribute to healthcare workers everywhere. On Dogwoof on Demand and other digital platforms",76 Days,FILM
Synchronic review – tiresome time-travellers going nowhere,"Here is a squawking, gobbling, factory-farmed turkey, and it’s a shame because its co-creators Justin Benson and Aaron Moorhead are a film-making duo known for interesting sci-fi horror fantasy. In 2017, they gave us a very intriguing indie movie called The Endless, in which they also starred as two thirtysomething brothers who 10 years previously had been freed from a sinister cult, but make a strange decision to revisit this creepy brotherhood whose world now seems more interesting than their current banal existence. That was a very atmospheric, if confused film. Sadly, all the problems with it seem to have magnified for this muddled and exasperatingly slow and pointless drama. Anthony Mackie and Jamie Dornan play Steve and Dennis, two careworn paramedics in New Orleans having to deal with the casualties of a new synthetic drug called Synchronic with time-travel powers. The problem with “imaginary drug” films is that they’re an easy and unearned route to excitement, and only a very rigorously clear and consistent narrative, and preferably a humorous script, can make them work. Ariel Schulman and Henry Joost’s Project Power (2020) was another imaginary-street-drug-in-New-Orleans film that was successful because of bright performances from a cast headed by Jamie Foxx. Similarly, Neil Burger’s Limitless (2011), with Bradley Cooper’s washed-up loser getting a mega-IQ boost from a brain pill, was viable as raucous satire. But Synchronic is frankly just silly and tedious, with faintly absurd and jeopardy-free time-travel scenes and a dramatic focus hopelessly split between Dennis and Steve’s separate but equally tiresome lives. There is a laugh when Mackie’s exhausted time-traveller comes back to the present and declares to his video diary: “The past fuckin’ sucks, man.” As does so much else. • Synchronic is available on digital platforms from 29 January.",Synchronic,FILM
Beginning review – shocking but shallow tale of religion and bigotry,"This is the much-admired feature debut of Georgian director Dea Kulumbegashvili, part of the official selection for last year’s cancelled Cannes film festival, where it might well have been a shock-cinema talking point had the event gone ahead. It is co-produced by the Mexican film-maker Carlos Reygadas, whose influence is very apparent, and the movie as a whole is an intensely, indeed overbearingly, curated and controlled experience. It is a succession of disquieting tableaux, shot mainly from fixed camera positions in which the relevant action can be happening very far away, and one of the speakers can be off-camera for long periods: a cinema in the high style of Haneke, Farhadi and Kiarostami. Yana (Ia Sukhitashvili) and David (Rati Oneli, the co-writer) are a devout Jehovah’s Witness couple with a child who preside over a newly-built prayer house in a remote community. When a religious meeting is firebombed by bigoted locals, David makes an official complaint to the (equally bigoted) police about their marked lack of effort or interest in finding the culprits, and makes a trip to Tbilisi to discuss matters with community elders. Meanwhile, Yana is left behind and is menaced and assaulted by someone claiming to be a cop. The central rape scene is very disturbingly shot and there is also what I admit is a potent final sequence, imagining some kind of retribution or spiritual degradation happening to the assailant in geological time. But there is something inert and frankly shallow in the film: a refrigerated mannerism in which rape and religious beliefs are both kinds of arthouse artefact, not made any more authentic or compelling by the suggestions of Yana’s own ambiguous attitude to what has just happened. Kulumbegashvili’s style is confident, if derivative. Her technique now has to evolve away from these self-conscious influences. • Beginning is available on Mubi from 29 January.",Beginning,FILM
Josep review – haunting tale of an artist adventurer,"The Spanish illustrator Josep Bartolí lived enough life to fill a dozen epic biopics. He fought against Franco’s fascists and fled over the Pyrenees into France with 500,000 other refugees in early 1939. After escaping from an internment camp, he made his way to Mexico, where he became a lover of Frida Kahlo. In New York, he was friends with Rothko and Pollock, and designed sets for Hollywood – until his name ended up on the blacklist. Now his life has been turned into a film: not an epic, but a slender and haunting French animation focusing on his years as a prisoner in France. It’s the feature debut of Aurélien Froment, best known as a cartoonist for Le Monde where his work appears under the name Aurel. He frames the film with the fictional story of an elderly French man, Serge (voiced by Gérard Hernandez), who’s telling his grandson about his stint as a fresh-faced gendarme working as a guard at an internment camp. We see him as a young man (voiced by Bruno Solo), a gentle soul with a pleasant face. (He reminded me of a Raymond Briggs character.) His colleagues mock him for refusing to abuse prisoners, who are treated more like criminals than refugees. Secretly, Serge makes friends with one of the Spanish, a handsome man with a magnificent hooked nose, who is constantly drawing – scribbling pictures on cutlery, walls, in the dirt with his finger. He is Bartolí (Sergí Lopez). Aurel draws scenes inside the camp in a grim camouflage of greys and dust browns, and shows us Bartolí’s angry, Goya-like drawings of the horrors: prisoners’ faces ravaged by disease and hunger, contorted with despair. Often the image remains still, the characters’ expressions and movements static – frozen like memories fixed in the brain after all these years. It’s a delicate, thoughtful film, moving and real. Not utterly bleak either, ending with a rampage of colour and life in Mexico – and a brilliantly sweary cameo from Kahlo. • Josep is available on Mubi from 28 January.",Josep,FILM
Spike Lee compares Donald Trump to Hitler,"Spike Lee has likened Donald Trump to Hitler in an acceptance speech at a film critics awards show, adding that “the whole world is laughing at the United States”. The director made his comments when he accepted a special award from the New York Film Critics Circle for his short film New York, New York. The film was released in May 2020 and Lee described it as a “love letter to its people”. Lee said the comments about the Trump were recorded on 6 January, the day of the Capitol breach, which he said was “a very sad day in the history of America”. “We are living in a very serious time in America,” said the director. “His president, President Agent Orange, will go down in history with the likes of Hitler … all his boys, they are going down on the wrong side of history.” Lee has a history of sparring with Trump, including calling him a “motherfucker” over Trump’s response to the 2017 Charlotteville protests, during which activist Heather Heyer was murdered by white supremacist James Fields. Trump accused him of a “racist hit on your president” after an earlier acceptance speech by Lee at the 2019 Oscars.",Spike Lee,FILM-CREW
"A Ghost Waits review – haunting, heartwarming romcom","Chock full of delightful narrative surprises, imaginative genre tweaks, and warming performances from its two leads, this low-budget romcom-horror story is worth seeking out. Director Adam Stovall, who co-wrote the script with the film’s star MacLeod Andrews, makes an impressive feature debut with an obviously teensy budget. It’s smartly deployed to cover essentially one set, some theatrical makeup and kit for some fetching black-and-white cinematography that simultaneously recalls vintage-era spooky movies of the 30s as well as too-cool-for-school early Jim Jarmusch films such as Stranger Than Paradise. Andrews’ protagonist Jack is a handyman who works for a property management company. His job is to check over houses for damage and do some light cleaning after tenants move out. However, it looks as if the former residents of an ordinary looking, two-storey suburban house left in a hurry, leaving all their possessions behind; Jack’s boss wants him to find out why so many previous clients similarly skipped out in a rush. Turns out it’s because the place is haunted by Muriel (Natalie Walker), a “spectral agent”, as she insists on being called, who has felt a particular sense of ownership over the building for many years. At first, Jack doesn’t even notice the doors opening by themselves or the lights turning on, but eventually Muriel gets his attention and makes herself visible; the two discover a spiritual affinity of sorts, that grows into a friendship and more. Like Tim Burton’s Beetlejuice, the script’s world-building posits a kind of afterlife bureaucracy in charge of hauntings, albeit one that seems to have gone through a very 21st-century style rebranding that has banished use of the word “ghost”. Muriel is a respected worker, but her boss, officious desk ghoul Ms Henry (Amanda Miller), is determined to undermine her and puts another co-worker (Sydney Vollmer) on the case as well. All of this ensures the film is not in the least bit scary, and clears room emotionally for a conclusion that’s as weird as it is apt and genuinely moving. Choice musical cuts from Honeyhoney, the Bengsons and Wussy further enhance the film’s insouciant street cred. • A Ghost Waits is released on the Arrow player in the UK, US and Canada on 1 February.",A Ghost Waits,FILM
Summer of '72 review – tame boy-meets-psychiatric-patient romance,"“She might be crazy, or she might be the sanest person I’ve ever met.” Some cringingly obvious lines really lower the tone of this deep south melodrama (released in the US last year with the title Tuscaloosa). It’s an adaptation of Glasgow Phillips’s novel about a white kid in early-70s Alabama: a psychiatrist’s son, he falls in love with one of his dad’s patients. The director is Philip Harder, a veteran music promo maker who evokes time and place with the intoxicatingly intense colour and heightened reality of a William Eggleston photograph. But his film, though well-meaning, is disappointingly tame and soap opera-ish. What it has got going for it is a trio of gusty, heart-on-sleeve performances. Devon Bostick is terrific as Billy, a charismatic dope-smoking drop-out who’s back home in Alabama mooching about, working as a gardener at his dad’s psychiatric hospital. One day, he spots beautiful new inpatient Virginia (Natalia Dyer), who tells him she’s not crazy and that her dad locked her up for being a nymphomaniac. Dyer’s intelligent and sensitive performance does wonders for a character who, on the page, looks like a male fantasy: a cool-girl psychiatric case, fun-loving, free-spirited and up for anything. Marchánt Davis completes the trio as Nigel, Billy’s African American childhood friend. He joins a group of militant civil rights activists and becomes the target of racist cops, but there’s just too much going on to properly explore the dynamics of the two men’s friendship. Another subplot in flashback reveals the death in mysterious circumstances of Billy’s mother when he was a child – a storyline that seems to exist purely to fend off criticism that here we have a film about brutal racism and oppression of women told from the perspective of a privileged white man. • Summer of ’72 is available on digital platforms from 1 February.",Summer of '72,FILM
Disney removes 'negative depictions of native peoples' from Jungle Cruise ride,"Disney is to overhaul its Jungle Cruise theme park attraction to remove what it describes as “negative depictions of native peoples” and to “reflect and value the diversity of the world around us”. The changes were outlined in a blogpost on its Disney Parks website, which included concept art for the redesigned attraction, a simulated riverboat ride originally developed for Disneyland when it opened in California in 1955. It has since been replicated in Disney theme parks in Florida, Tokyo and Hong Kong. In a statement quoted by USA Today, Disney added that its designers “are addressing negative depictions of native people while adding a humorous storyline … this group of adventurers [will] be diverse – in background and fields of interest”. Partly inspired by the 1951 film The African Queen, Jungle Cruise has long been a target of criticism for its inclusion of caricatures of indigenous people as well as a character, Trader Sam, who offers “heads” for sale. A post by design group Thinkwell calls elements of the attraction “horrifyingly racist”. Disney’s redesign of the Jungle Cruise follows its decision, announced in June 2020, to rework its Splash Mountain attraction. Originally inspired by the now repudiated 1946 film Song of the South, Splash Mountain is being modelled on its 2009 animation, The Princess and the Frog, the first to contain an African American princess. A film version of Jungle Cruise, starring Dwayne Johnson and Emily Blunt, has had its release delayed until July 2021.",Disney,FILM-CREW
God of the Piano review – icy family drama is a virtuoso debut,"A classical pianist gives birth to a hearing-impaired son in Israeli director Itay Tal’s impressive feature debut. You could interpret his film as an allegory of tiger parenting and other child-raising techniques with gimmicky names. And the script raises all sorts of questions about whether talent is innate, how far it is influenced by genes, and whether it needs to be developed while young. Tal refrigerates these questions into an elegant and disturbing family drama that has echoes of Michael Haneke: it’s a film with a shard of ice lodged in its heart. Naama Preis is the pregnant pianist, Anat, who is on stage when her waters break. Not missing a beat, she carries on playing, amniotic fluid trickling into her shoe. At the hospital, routine tests reveal that her baby son is deaf – further investigations will be needed. I watched what Anat does next with my hands covering my face; it is a heart-stopping moment of scary-but-not-scary cinema. The story then skips ahead a few years. Anat has given up the piano to focus on moulding her son, Idam, into a musical prodigy. He performs in public for the first time aged seven or so. Later, there’s an unbearably tense scene as he sits down at 12 to play in front of the wider family after dinner. All of them are pianists, and musical greatness is the only measure of success. Anat’s father, a well-known composer, demanding and severe, is hypercritical of the boy’s technique. Through all of this Anat’s face is inscrutable, impossible to read. Is she numbed by guilt or has being raised in this toxic environment warped her self-esteem and sense of family life? Another director would insert epic meltdowns here, but Tal keeps things cool and collected – and his supremely satisfying film gets the job done in 80 minutes. • Available on Your Screen.",God of the Piano,FILM
Cannes film festival officially delayed from May until July,"Cannes 2021 just got hotter. The annual film festival, which prides itself on launching the premieres – and careers – of some of the world’s top directors, will now take place at the height of summer, following concerns over the Covid pandemic. The festival had been scheduled to take place from 11-22 May; now it will run from 6-17 July. “As announced last autumn, the Festival de Cannes reserved the right to change its dates depending on how the global health situation developed,” explained a press release on Wednesday. Variety had reported last week that July was the most likely choice, with organisers extremely keen to host a physical edition of the festival after last year’s was called off following a series of postponements. Holding the event in July would mean that Cannes retains more than a month’s head start on the autumn festivals: Venice, Telluride and Toronto, which begin in late August. The Cannes Lions advertising festival is scheduled to take place as planned in the city’s Palais des Festivals in June. Local hoteliers were reported to be positive about the change as their hopes of a normal tourist season this year rapidly diminished. The event usually attracts some 200,000 visitors to the Riviera hotspot, generating an estimated 200m euros’ (£176m) worth of economic benefits for the area. Cannes general delegate Thierry Frémaux had mooted the idea of extending the festival’s length due to the likelihood of a backlog of high-quality films delayed by the pandemic; this appears to have ditched. After the festival was cancelled in 2020, Frémaux presented a selection of more than 50 films, including Wes Anderson’s as-yet-unreleased The French Dispatch, Pixar animation Soul, which premiered on streaming platform Disney+ in December, and Lovers Rock and Mangrove from Steve McQueen’s Small Axe anthology for the BBC. Premieres at the 2019 edition included Parasite, Once Upon a Time in Hollywood, Pain and Glory, Sorry We Missed You and Portrait of a Lady on Fire. The Sundance film festival begins later this week in a wholly virtual format. The Berlin film festival, which is normally in February, will now take place in two stages: digital only in March and physical in June.",Cannes 2021,OTHERS
Twist review – try-hard reboot spray paints over Dickens' tale,"Michael Caine already has the distinction of appearing in what many believe is the greatest Dickens adaptation of all time: The Muppets Christmas Carol, in which he played Scrooge. Now he is Fagin in this try-hard modern reboot of Oliver Twist, in which the plot and indeed meaning of the original has been jettisoned, leaving few of the characters – though the original’s tiny, sticky-fingered tealeaves are now promoted to supercool young adulthood. It never really comes to life and there’s a kids-TV feel to most of it, although the free-running scenes are watchable enough, and Caine’s disguise as a grumpy Russian plutocrat with a fake moustache raises some laughs. Rafferty Law (the dead spit of his dad, Jude Law) plays Twist, a young graffiti artist who gets roped into street crime and finds himself hanging out with some cheeky but nonviolent young chancers in Fagin’s employ: a gender-switched Dodge (Rita Ora), and a character called Red (Sophie Simnett), who is in an abusive relationship with another gender-switched character, Sikes, played by Lena Headey. Caine’s Fagin turns out to be a former art dealer ruined by an unscrupulous competitor (enjoyably played by David Walliams), so Fagin plans an elaborate robbery to get his own back on this absolute rotter. And so we are in caper-theft territory, with people disguising themselves as police officers, lowering themselves into lifts from a hole in a ceiling, spray painting over CCTV cameras and pinching Old Masters. Noel Clarke and Jason Maza are Brownlow and Bedwin, the flat-footed coppers on Twist’s trail, but hardly able to keep up with his parkour shenanigans. This movie’s not unlikable, but the action and comedy are under par. • Twist is released on Sky Cinema on 29 January.",Twist,FILM
The Capote Tapes review – inside the iconic writer's ice-cold mind,"There’s a necrophiliac fascination to this documentary about the life and times of Truman Capote, author of the 1958 novella Breakfast at Tiffany’s – filmed with Audrey Hepburn – and the true-crime reportage masterpiece In Cold Blood from 1966. The latter was about the brutal slaying of a Kansas farming family in which the cold-bloodedness of the crime was matched by the cold-bloodedness of Capote’s literary and journalistic performance – befriending the culprits with prison visits and privately agitating for their death penalty to give his book a sensational ending. If anyone had the splinter of ice in the heart that Graham Greene said a novelist needed, it was him. Capote was also a gay man in an era when being one was dangerous, but when those prominent in the arts could hide it in plain sight with extravagant mannerisms. Norman Mailer admired his courage and I found myself thinking of a German word invented by the English writer Ben Schott: schmetterlingsschnauze, or “butterfly jaws” – the toughness of the dandy. This film from Ebs Burnough, based on a cache of audiotaped interviews with Capote’s intimates made by Paris Review editor George Plimpton, is chiefly about the strange case of Capote’s unfinished novel, Answered Prayers. This was his anatomy of the New York idle rich with whom Capote mingled and for whom he threw the supposedly legendary Black and White Ball in New York in 1966, a bafflingly iconic event whose guest list – like the cast of people on whom Answered Prayers is based – now seems mostly like a pageant of wealthy mediocrities and Eurotrash narcissists. Maybe Capote’s novel-fragment attacking them was intended as the definitive, contemptuous dismissal: a final flick of the switch on the electric chair. But the contempt was surely also for himself. When a few chapters were published, it apparently lost him some A-lister friends, though he gained new ones to hang out with at Studio 54 in the 70s, including his acolyte Andy Warhol – who was really Capote’s cultural heir in the new age of celebrity. (This film could have said more about their relationship.) It is salutary to be reminded of a great writer, whose heyday was at a time when literary authors were at the centre of culture. Released on 29 January on digital formats.",The Capote Tapes,FILM
The Queen of Black Magic review – derivative gross-out horror,"Leaving their home in Jakarta, well-to-do dad Hanif (Ario Bayu), his wife Nadya (Hannah Al Rashid) and their three kids drive to the remote rural orphanage where Hanif grew up. At first, it’s all laughs and backseat bickering – until the car hits something. Having established that the collision was with a now dead deer, they drive off, only for the camera to reveal that the real victim was a child, now dead in a ditch. Up comes the title card, by which point viewers of this Indonesian horror will have some inkling that The Queen of Black Magic isn’t going to mess around. After this unnerving first 10 minutes, there is a long expository lull as an unwieldy cast of characters is introduced. These include the two guys Hanif was best friends with back at the orphanage, their wives, enigmatic servants, two of the current teenage residents, and the dying old man who ran the place. Eventually, after a couple of creepy anecdotes about demons and madwomen locked in bedrooms, the action finally kicks in with a pretty unrelenting stream of horror. Possessions by unquiet spirits result in regurgitated caterpillars, millipedes in eye sockets, someone getting their mouth stapled shut, a woman with an eating disorder mutilating her body, and a bus full of corpses. Then it gets really nasty. Director Kimo Stamboel deploys some clever visual effects and trick camera angles to heighten the gross-out factor – a twist reveals the agent of chaos isn’t just cruel but seeking justice for historical abuse. But ultimately it is all a bit repetitive, derivative (particularly of other Asian horror pics) and somewhat sleep-inducing. • The Queen of Black Magic is available on Shudder from 29 January.",The Queen of Black Magic,FILM
Assassins review – the 'prank show' killing of North Korea's pretender,"Nothing to do with the 1990 musical by Stephen Sondheim about the people throughout history who have tried to kill the US president … yet maybe this film should itself be turned into a musical or opera. It is a documentary about the extraordinary 2017 assassination of Kim Jong-nam, North Korean leader Kim Jong-un’s half-brother, who had been living in exile in China and was not merely a persistent critic of the regime but seen as a possible alternative ruler. Bizarrely, Kim Jong-nam was killed by having VX nerve agent smeared in his face in Kuala Lumpur international airport’s departure hall by two young women, Siti Aisyah and Doan Thi Houng – from Indonesia and Vietnam respectively – who had been duped by North Korean agents posing as TV producers into thinking they were filming a hidden-camera prank show. The Malaysian government quickly and timidly allowed the North Koreans to go free when the regime effectively held Malaysian embassy staff hostage with their families in Pyongyang. So that left the two vulnerable young women facing a mandatory death penalty for murder, just so the Malaysian legal system could indict someone and save face. It is a gripping story, well told by documentary film-maker Ryan White, with the help of two journalists who covered it at the time: Bloomberg reporter Hadi Azmi and the Washington Post’s former Beijing bureau chief Anna Fifield. There is something genuinely chilling about the way the North Koreans groomed and gaslit their two young victims, making them do dozens of supposed pranks on people over many months, with regular payment and spurious reassurance: eerie dummy-run stunts, just to get them used to the technique. Aisyah and Huong were manipulated like young women being sex-trafficked and, in the strangest, unknowing way, like jihadis being schooled for a big attack. (The nerve-agent element has an extra resonance for the UK after the Russians’ novichok outrage in Salisbury in 2018.) Only the state has access to chemical weapons, and their use is designed to send a sickening message of triumphalism and nationalism. What an extraordinary story of sexism, violence, diplomatic bad faith and dishonesty on an international scale. One question remains: who had the bizarre yet satanically clever idea of a fake prank show? And how is it that the North Koreans, supposedly marooned in their Soviet past, managed to dream up something dripping with contemporary media irony? It could be down to a certain mysterious Japanese national who was identified as an accomplice, but never tracked down. Perhaps a true-crime podcast should now be devoted to finding him. • Assassins is available on digital platforms from 29 January.",Assassins,FILM
Tell us about your favourite comfort film,"Most of us have a movie that we turn to again and again when times are hard – whether it’s to distract us, remind us that life can be amazing or just confirm that some people have it much, much worse. It could be a romantic comedy, a feelgood fantasy, a musical, a sci-fi epic, or a disaster flick. When our film critic ranked his favourite comfort films last year, his list included Babe and Galaxy Quest alongside Casablanca and Titanic. What’s your favourite comfort movie – and what makes it so special? Is it something about the plot, the characters or the issues, or the way they resonate with your own life or bring back memories of happier moments? We would love to hear from you. Share your experiences You can get in touch by filling in the form below. Your responses are secure as the form is encrypted and only the Guardian has access to your contributions. One of our journalists will be in contact before we publish, so please do leave contact details. If you’re having trouble using the form, click here. Read terms of service here.",None,OTHERS
George Clooney joins reboot of classic sci-fi series Buck Rogers,"George Clooney could be heading to outer space once more after it was announced he had joined the team putting together a reboot of the classic sci-fi series Buck Rogers. The Hollywood Reporter writes that the project, written by Under the Dome’s Brian K Vaughan, could be a “starring vehicle” for Clooney, who will be executive producer of the series. The character Buck Rogers is a war veteran who falls into a coma and wakes up in the 25th century. After the success of a late 70s film a TV series followed starring Gil Gerard, as the US army air corps officer, and Erin Gray. Rogers first appeared in the 1920s before becoming a comic book mainstay in the 1930s, with early radio, TV and film adaptations, all before 1950. Clooney is in the awards race for another post-apocalyptic sci-fi project in the guise of Netflix’s The Midnight Sky. He has joined the project as executive producer, alongside his Smokehouse Pictures partner Grant Heslov, while Flint Dille – the grandson of the original Buck Rogers publisher, John F Dille – will produce. There have been aborted attempts to revive the Rogers franchise, with Frank Miller, the Sin City comic book writer turned film-maker, announcing in 2008 he was working on a film adaptation of the story, but it has never seen the light of day. Earlier reports said the reboot would go back to the character’s first appearance in the 1928 story, Armageddon 2419 AD, where Rogers is introduced as a first world war soldier trapped by a cave-in while investigating strange phenomena in an abandoned Pennsylvania coalmine. In the story, Rogers is exposed to radioactive gas and wakes up nearly 500 years later in the 25th century and helps a resistance force attempt to retake the US, which has been taken over by a conquering force. The original 1970s TV show has been part of a boom in nostalgia-fuelled streaming during the pandemic. It forms part of the lineup on Forces TV, the commercial arm of the British Forces Broadcasting Service, a charity that provides TV and radio for members of the armed forces.",George Clooney,FILM-CREW
Beginning review – a Jehovah's Witness under attack in Georgia,"Georgian writer-director Dea Kulumbegashvili’s fierce feature debut, about a Jehovah’s Witness whose faith is tested, opens with an act of hostility. The camera observes from a fixed point at the back of a Kingdom Hall as the space fills and blinds are eventually drawn. Minutes into the service, someone throws a firebomb into the room. The camera continues to watch as flames start to spread. Beginning centres on Yana (Ia Sukhitashvili), former actress and dutiful wife of congregation leader David (Rati Oneli, who co-wrote the film). Yana must navigate both her domineering husband and Alex (Kakha Kintsurashvili), a dangerous man who insists he is a police detective from Tbilisi. Kulumbegashvili draws parallels between the local contempt for Jehovah’s Witnesses – a religious minority in the Georgian mountain town of Lagodekhi – and a broader patriarchal contempt for women. Sukhitashvili’s subtle performance brings interiority to a character who might otherwise be defined entirely by her suffering. The director favours a static camera and extended takes that give her compositions a holy quality. The length of certain scenes feels confrontational, not unlike Chantal Akerman’s long takes in her 1975 feminist classic Jeanne Dielman, 23, quai du commerce, 1080 Bruxelles. Through this rigorous aesthetic, a distinctive point of view emerges. An act of sexual violence takes place in a setting of natural beauty – a babbling brook flanked by wildflowers. The juxtaposition feels like a provocation. • On Mubi",Beginning,FILM
